Time,ID,Lat,Lon,Alt,#WiFi networks,SSID1,MAC1,Frequancy1,Signal1,SSID2,MAC2,Frequancy2,Signal2,SSID3,MAC3,Frequancy3,Signal3,SSID4,MAC4,Frequancy4,Signal4,SSID5,MAC5,Frequancy5,Signal5,SSID6,MAC6,Frequancy6,Signal6,SSID7,MAC7,Frequancy7,Signal7,SSID8,MAC8,Frequancy8,Signal8,SSID9,MAC9,Frequancy9,Signal9,SSID10,MAC10,Frequancy10,Signal10
28/10/2017 20:23,ONEPLUS A3003,32.13271899,34.83653431,81,5,DansCarCam,58:70:c6:f7:c3:fd,5,-78,DansCarCam,58:70:c6:f7:c3:fd,5,-78,NIPPON_6002,08:97:58:33:32:fe,1,-92,NIPPON_6002,08:97:58:33:32:fe,1,-92,NIPPON_6002,08:97:58:33:32:fe,1,-92,
28/10/2017 20:23,ONEPLUS A3003,32.13119855,34.84027992,74,2,NIPPON_6002,08:97:58:33:32:fe,1,-92,DansCarCam,58:70:c6:f7:c3:fd,5,-78,
