Time, ,myLon,myLat,myAlt, , ,DiffLon,DiffLat,DiffAlt, , ,Lon,Lat,Alt
12/05/2017 11:43, ,null,null,null, , ,0.0,0.0,0.0, , ,35.20732447,32.10252386,699.0872236
12/05/2017 11:43, ,35.2096037458969,32.10440208663962,690.3590826528689, , ,4.1031000819202745E-9,3.360383971084957E-9,4.713115231425036E-8, , ,35.20960375,32.10440209,690.3590827
12/05/2017 11:43, ,35.2094073662907,32.10427575938707,703.0402428651788, , ,3.709303086907312E-9,6.129283747213776E-10,3.4821141525753774E-8, , ,35.20940737,32.10427576,703.0402429
12/05/2017 11:36, ,35.20942986,32.10446697,692.9030486, , ,0.0014154799999985812,0.0013015400000000454,4.392646000000013, , ,35.20801438,32.10316543,697.2956946
12/05/2017 11:34, ,35.210141735189524,32.10378011713615,698.9324772751706, , ,5.284651895252068E-4,2.2895713614445867E-4,0.0652432248293735, , ,35.20961327,32.10355116,698.9977205
12/05/2017 11:45, ,35.21017982504327,32.10382334726453,706.2313135373873, , ,4.956731913807744E-9,2.7354687404113065E-9,3.738728082680609E-8, , ,35.21017983,32.10382335,706.2313135
01/01/1970 02:00, ,35.20975196281966,32.10445056172947,691.0818914981252, , ,2.8196609491715208E-9,1.729475229694799E-9,1.87480964086717E-9, , ,35.20975196,32.10445056,691.0818915
01/01/1970 02:00, ,35.209769863970585,32.104434541730804,691.1046390118656, , ,3.970583861701016E-9,1.7308039446106704E-9,1.1865608939842787E-8, , ,35.20976986,32.10443454,691.104639
01/01/1970 02:00, ,35.21014017957549,32.10381765535055,700.9984657246987, , ,4.2451375747987186E-10,4.649450602300931E-9,2.4698692868696526E-8, , ,35.21014018,32.10381766,700.9984657
01/01/1970 02:00, ,35.2096924,32.10455252,689.0, , ,1.5840000003208843E-5,1.3519999995992293E-5,0.06977389999997285, , ,35.20967656,32.104539,689.0697739
01/01/1970 02:00, ,35.209268450430194,32.10421269587973,692.028343039718, , ,4.3019099393859506E-10,5.8797340329874714E-9,3.971808837377466E-8, , ,35.20926845,32.10421269,692.028343
12/05/2017 11:43, ,35.210212077201355,32.104820571672036,699.9240231059845, , ,2.798643095047737E-9,1.6720349549359526E-9,5.984475137665868E-9, , ,35.21021208,32.10482057,699.9240231
12/05/2017 11:43, ,35.20894494,32.1040793,693.2106003, , ,8.01819999999509E-4,7.659900000049902E-4,3.078913899999975, , ,35.20814312,32.10331331,696.2895142
12/05/2017 11:43, ,35.20960459397519,32.10446889068296,706.7108663331105, , ,3.975195284056099E-9,6.829594667578931E-10,3.311049567855662E-8, , ,35.20960459,32.10446889,706.7108663
12/05/2017 11:43, ,35.210192897253435,32.1038277403601,703.990308623495, , ,2.7465674179438793E-9,3.601030584832188E-10,2.3494976630900055E-8, , ,35.2101929,32.10382774,703.9903086
12/05/2017 11:43, ,35.20902819300817,32.10411011422827,699.3313755571071, , ,3.008175042396033E-9,4.228269290251774E-9,4.289290700398851E-8, , ,35.20902819,32.10411011,699.3313756
12/05/2017 11:43, ,35.20942986,32.10446697,692.9030486, , ,8.95980000002794E-4,8.23859999997012E-4,2.780496499999913, , ,35.20853388,32.10364311,695.6835451
12/05/2017 11:43, ,35.20939855594586,32.10395416786418,695.1171009119173, , ,5.945857139977306E-9,2.135820409421285E-9,1.1917336451006122E-8, , ,35.20939855,32.10395417,695.1171009
12/05/2017 11:43, ,35.21010092148587,32.10492098322626,689.3647698264593, , ,1.4858656527394487E-9,3.226254818855523E-9,2.6459360924491193E-8, , ,35.21010092,32.10492098,689.3647698
12/05/2017 11:43, ,35.21015525495205,32.103802717290485,701.9358724556929, , ,5.047951390224625E-9,2.70951261427399E-9,5.569290806306526E-8, , ,35.21015526,32.10380272,701.9358724
12/05/2017 11:48, ,35.2100227789272,32.103738602121396,706.8289176542855, , ,1.0728058441600297E-9,2.121396391885355E-9,4.57145006294013E-8, , ,35.21002278,32.1037386,706.8289177
12/05/2017 11:43, ,35.2091625548895,32.10404737701399,691.4554829091433, , ,4.889500360150123E-9,2.986006109040318E-9,9.14326392376097E-9, , ,35.20916255,32.10404738,691.4554829
12/05/2017 11:37, ,35.2101490208374,32.103809265062644,700.531830995003, , ,8.373959303753509E-10,5.062645414000144E-9,4.996991265215911E-9, , ,35.21014902,32.10380926,700.531831
12/05/2017 11:37, ,35.20917046484155,32.10435362492986,696.6688463407194, , ,5.1584478910626785E-9,4.929859187541297E-9,4.0719328353588935E-8, , ,35.20917047,32.10435362,696.6688463
12/05/2017 11:37, ,35.210010291041556,32.104781014805376,690.7015835722992, , ,3.354895844154271E-5,2.3315519462130396E-4,3.307140772299249, , ,35.21004384,32.10501417,687.3944428
12/05/2017 11:41, ,35.21016284791512,32.1038120075826,706.0284555946314, , ,2.0848816006946436E-9,2.4174013901756553E-9,5.368633537727874E-9, , ,35.21016285,32.10381201,706.0284556
12/05/2017 11:41, ,35.20912932084882,32.104350701329366,697.18351178287, , ,8.488143521390157E-10,1.3293686151882866E-9,1.712999164737994E-8, , ,35.20912932,32.1043507,697.1835118
12/05/2017 11:41, ,35.209908122881785,32.10432484648222,697.1117517496283, , ,2.8817837005590263E-9,3.517776292483177E-9,4.9628283704805654E-8, , ,35.20990812,32.10432485,697.1117517
12/05/2017 11:33, ,35.21017521903489,32.103843045984746,702.8028579426689, , ,0.0011257990348880753,5.147059847487867E-4,1.2071747426688262, , ,35.20904942,32.10332834,701.5956832
